...1,url,title,textualRating,languageCode,publisher.name,publisher.site,reviewDate,text,claimant,claimDate,claimant_party
13994,https://www.washingtonpost.com/politics/2019/03/06/hillary-clintons-claims-about-voter-suppression-georgia-wisconsin/,Analysis | Hillary Clinton’s claims about voter suppression in Georgia and Wisconsin,Four Pinocchios,en,The Washington Post,washingtonpost.com,2019-03-06T13:35:41Z,I was the first person who ran for president without the protection of the Voting Rights Act; and I will tell you; it makes a really big difference. And it doesn’t just make a difference in Alabama and Georgia; it made a difference in Wisconsin; where the best studies that have been done said somewhere between 40 [thousand] and 80;000 people were turned away from the polls because of the color of their skin; because of their age; because of whatever excuse could be made up to stop a fellow American citizen from voting.',Hillary Clinton,2019-03-03T00:00:00Z,Democratic
13691,https://www.washingtonpost.com/politics/2019/03/07/pompeos-complaint-about-boston-dc-corridor-is-based-flawed-data/?utm_term=.ed25fe3d4eff,Analysis | Pompeo’s complaint about the ‘Boston-DC corridor’ is based on flawed data,Three Pinocchios,en,The Washington Post,washingtonpost.com,2019-03-07T11:37:20Z,State Dept represents America to the world; so our team should reflect the millions of Americans outside the Boston-DC corridor.',Mike Pompeo,2019-03-04T00:00:00Z,Republican
13553,https://www.washingtonpost.com/politics/2019/03/08/would-every-small-dollar-donated-be-matched-under-house-democratic-plan/?utm_term=.fb00cf3107ad,Analysis | Would ‘every small dollar donated’ be matched 6 to 1 under the House Democratic plan?,Two Pinocchios,en,The Washington Post,washingtonpost.com,2019-03-08T12:14:17Z,The bill sends your taxpayer dollars to fund political campaigns. Not to build roads or bridges but to add 600 percent of taxpayer money to every small dollar donated by Americans. So let’s say Mary from Michigan donates $200 to her preferred candidate. Well; now you — the taxpayer — have just chipped in another 1;200 bucks.',Kevin McCarthy,2019-03-06T00:00:00Z,Republican
13526,https://www.washingtonpost.com/politics/2019/03/12/ocasio-cortezs-misleading-complaint-trump-did-not-transfer-funds-opioid-emergency/?utm_term=.293e61d2eb91,Analysis | Ocasio-Cortez’s misleading complaint: Trump did not transfer funds for the opioid emergency,Three Pinocchios,en,The Washington Post,washingtonpost.com,2019-03-12T10:23:43Z,Amount President Trump has transferred from other agencies to fund his ‘Build the Wall’ Emergency: $10s of millions; & has identified billions more. Amount he’s transferred to address the Opioid National Emergency: $0',Alexandria Ocasio-Cortez,2019-03-08T00:00:00Z,Democratic
13440,https://www.washingtonpost.com/politics/2019/03/14/larry-kudlows-claim-that-we-have-virtually-paid-trumps-tax-cut/,Analysis | Larry Kudlow’s claim that ‘we have virtually paid for’ Trump’s tax cut,Four Pinocchios,en,The Washington Post,washingtonpost.com,2019-03-14T14:07:27Z,The tax cut was about 1.5 trillion [dollars] scored. We have virtually paid for it — I guess 80 percent paid for it — and that’s by the CBO’s own numbers.',Larry Kudlow,2019-03-08T00:00:00Z,Republican
13532,https://www.washingtonpost.com/politics/2019/03/15/democrats-engage-mediscare-spin-trump-budget/?utm_term=.92959b863465,Analysis | Democrats engage in ‘Mediscare’ spin on the Trump budget,Two Pinocchios,en,The Washington Post,washingtonpost.com,2019-03-15T10:36:09Z,It is unbelievable the Trump budget calls for ... $850 billion cut in Medicare.',Charles Schumer,2019-03-12T00:00:00Z,Democratic
14137,https://www.washingtonpost.com/politics/2019/03/18/did-wall-street-get-trillion-dollar-bailout-during-financial-crisis/?utm_term=.0a8e81d27e36,Analysis | Did Wall Street get a ‘trillion-dollar bailout’ during the financial crisis?,Two Pinocchios,en,The Washington Post,washingtonpost.com,2019-03-18T10:52:21Z,Not one major Wall Street executive went to jail for destroying our economy in 2008 as a result of their greed; recklessness and illegal behavior. No. They didn’t go to jail. They got a trillion-dollar bailout.',Bernie Sanders,2019-03-12T00:00:00Z,Democratic
13778,https://www.washingtonpost.com/politics/2019/03/19/how-democrats-are-putting-bad-spin-good-economic-news/?utm_term=.a6d7abccd637,Analysis | How Democrats are putting a bad spin on good economic news,Data is fishy,en,The Washington Post,washingtonpost.com,2019-03-19T11:02:23Z,I have already shared with you that many are working second or third jobs — in fact in Texas; half of your colleagues are working a second or third job just to put food on the table.',Beto O'Rourke,2019-03-15T00:00:00Z,Democratic
14339,https://www.washingtonpost.com/politics/2019/03/19/how-democrats-are-putting-bad-spin-good-economic-news/?utm_term=.a6d7abccd637,Analysis | How Democrats are putting a bad spin on good economic news,Lacks Context,en,The Washington Post,washingtonpost.com,2019-03-19T11:08:11Z,Millions of Americans are forced to work two or three jobs just to survive.',Bernie Sanders,2019-03-15T00:00:00Z,Democratic
13967,https://www.washingtonpost.com/politics/2019/03/21/klobuchar-cites-bad-data-claim-credit-reducing-black-incarceration/?utm_term=.d66171141920,Analysis | Klobuchar cites bad data to claim credit for reducing black incarceration,Four Pinocchios,en,The Washington Post,washingtonpost.com,2019-03-21T10:55:46Z,If you look at the data; you will see there was a 65 percent decrease in incarceration of African Americans when you go from the beginning of my term to the end.',Amy Klobuchar,2019-03-17T00:00:00Z,Democratic
